# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
1

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,PropGeom,0,BNRIVEPAOP,0,0,1,6.123233995736766036e-17, 0.000000000000000000e+00, -1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 6.123233995736766036e-17, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,48,25
# x,y,z,u,w
5.063231744779607413e-02, 2.393441999999998127e-01, -1.215126290447323711e-02, 1.000000000000000000e+00, 0.000000000000000000e+00
4.828677496859992702e-02, 2.393441999999998127e-01, -1.192941262565160032e-02, 1.000000000000000000e+00, 4.841595327331393861e-02
4.432849777202332864e-02, 2.393441999999998127e-01, -1.135496423471033835e-02, 1.000000000000000000e+00, 1.243194147256564686e-01
3.786320306535587848e-02, 2.393441999999998127e-01, -1.037630003087848009e-02, 1.000000000000000000e+00, 2.483789085618058612e-01
2.803923201589711423e-02, 2.393441999999998127e-01, -8.798040584281682092e-03, 1.000000000000000000e+00, 4.370901933198670375e-01
1.463916917549435738e-02, 2.393441999999997849e-01, -6.472937075790018147e-03, 1.000000000000000000e+00, 6.949315309392636308e-01
-1.169843147001288584e-03, 2.393441999999998127e-01, -3.433960797980520428e-03, 1.000000000000000000e+00, 1.000000000000000000e+00
-1.689027371585504617e-02, 2.393441999999998127e-01, 6.189393407526036148e-05, 1.000000000000000000e+00, 1.305068469060736591e+00
-3.002871471185878174e-02, 2.393441999999998959e-01, 3.608231272332756544e-03, 1.000000000000000000e+00, 1.562909806680132796e+00
-3.948247426895441781e-02, 2.393441999999997849e-01, 6.703548288989295313e-03, 1.000000000000000000e+00, 1.751621091438194222e+00
-4.563810331002175757e-02, 2.393441999999998404e-01, 8.891686125232403648e-03, 1.000000000000000000e+00, 1.875680585274343448e+00
-4.924867889404266341e-02, 2.393441999999998127e-01, 1.054077842196704182e-02, 1.000000000000000000e+00, 1.951584046726686061e+00
-5.063231442987490422e-02, 2.393441999999998127e-01, 1.215126218020156496e-02, 1.000000000000000000e+00, 2.000000000000000000e+00
-4.950449280852942113e-02, 2.393441999999998127e-01, 1.375248794021156212e-02, 1.000000000000000000e+00, 2.048415953273313939e+00
-4.582324512366878211e-02, 2.393441999999998404e-01, 1.489202609344819107e-02, 1.000000000000000000e+00, 2.124319414725656774e+00
-3.925358602313662459e-02, 2.393441999999998127e-01, 1.511313215227215283e-02, 1.000000000000000000e+00, 2.248378908561805556e+00
-2.920739380506890553e-02, 2.393441999999998959e-01, 1.363675290820309804e-02, 1.000000000000000000e+00, 2.437090193319866760e+00
-1.568599941564122885e-02, 2.393441999999998127e-01, 1.037200579348698977e-02, 1.000000000000000000e+00, 2.694931530939263631e+00
9.735911692218543532e-05, 2.393441999999998127e-01, 5.736706358031767698e-03, 1.000000000000000000e+00, 3.000000000000000000e+00
1.571774566129060385e-02, 2.393441999999998127e-01, 6.247080999528614948e-04, 1.000000000000000000e+00, 3.305068469060736369e+00
2.882562259798324839e-02, 2.393441999999997571e-01, -3.941931548727663215e-03, 1.000000000000000000e+00, 3.562909806680132796e+00
3.836969255763688497e-02, 2.393441999999998127e-01, -7.404615227283658715e-03, 1.000000000000000000e+00, 3.751621091438194000e+00
4.461972566555830189e-02, 2.393441999999998404e-01, -9.737496542958849755e-03, 1.000000000000000000e+00, 3.875680585274343670e+00
4.843318116136874352e-02, 2.393441999999997849e-01, -1.118855161672708924e-02, 1.000000000000000000e+00, 3.951584046726686061e+00
5.063231744779607413e-02, 2.393441999999998127e-01, -1.215126290447323711e-02, 1.000000000000000000e+00, 4.000000000000000000e+00
5.065926671191945535e-02, 2.531126212765956729e-01, -1.203842018066089530e-02, 1.021276595744680771e+00, 0.000000000000000000e+00
4.831325532121952260e-02, 2.531126212765956729e-01, -1.182168563814762000e-02, 1.021276595744680771e+00, 4.841595327331393861e-02
4.435372683361766405e-02, 2.531126212765956729e-01, -1.125592856651589854e-02, 1.021276595744680771e+00, 1.243194147256564686e-01
3.788629544644746966e-02, 2.531126212765956729e-01, -1.029147166051543397e-02, 1.021276595744680771e+00, 2.483789085618058612e-01
2.805886820086229971e-02, 2.531126212765956729e-01, -8.734824908156219037e-03, 1.021276595744680771e+00, 4.370901933198670375e-01
1.465369468769751188e-02, 2.531126212765956729e-01, -6.439251419469080133e-03, 1.021276595744680771e+00, 6.949315309392636308e-01
-1.162027762821084232e-03, 2.531126212765956729e-01, -3.435199307961474356e-03, 1.021276595744680771e+00, 1.000000000000000000e+00
-1.689022114282047460e-02, 2.531126212765956729e-01, 2.578887509898245890e-05, 1.021276595744680771e+00, 1.305068469060736591e+00
-3.003658698448477202e-02, 2.531126212765957284e-01, 3.542801163095033509e-03, 1.021276595744680771e+00, 1.562909806680132796e+00
-3.949730320116578985e-02, 2.531126212765956729e-01, 6.616805387209430227e-03, 1.021276595744680771e+00, 1.751621091438194222e+00
-4.565784666250832097e-02, 2.531126212765957284e-01, 8.790865594420826934e-03, 1.021276595744680771e+00, 1.875680585274343448e+00
-4.927209020784620308e-02, 2.531126212765956729e-01, 1.043149666751473290e-02, 1.021276595744680771e+00, 1.951584046726686061e+00
-5.065926369239200089e-02, 2.531126212765956729e-01, 1.203841946311517107e-02, 1.021276595744680771e+00, 2.000000000000000000e+00
-4.953496557794154903e-02, 2.531126212765956729e-01, 1.364168000784632059e-02, 1.021276595744680771e+00, 2.048415953273313939e+00
-4.585626668366429154e-02, 2.531126212765957284e-01, 1.478900289866794983e-02, 1.021276595744680771e+00, 2.124319414725656774e+00
-3.928717285898492007e-02, 2.531126212765956729e-01, 1.502439137891430770e-02, 1.021276595744680771e+00, 2.248378908561805556e+00
-2.923779864019471902e-02, 2.531126212765957284e-01, 1.357015794843531575e-02, 1.021276595744680771e+00, 2.437090193319866760e+00
-1.570921926063712989e-02, 2.531126212765956729e-01, 1.033550277310562628e-02, 1.021276595744680771e+00, 2.694931530939263631e+00
8.441567561620830760e-05, 2.531126212765956729e-01, 5.735549617363932054e-03, 1.021276595744680771e+00, 3.000000000000000000e+00
1.571617572519826145e-02, 2.531126212765956729e-01, 6.586745517750216584e-04, 1.021276595744680771e+00, 3.305068469060736369e+00
2.883423202778995220e-02, 2.531126212765956729e-01, -3.878416514154547912e-03, 1.021276595744680771e+00, 3.562909806680132796e+00
3.838602985709947679e-02, 2.531126212765956729e-01, -7.319546720641184438e-03, 1.021276595744680771e+00, 3.751621091438194000e+00
4.464127294918791844e-02, 2.531126212765957284e-01, -9.638296825987406266e-03, 1.021276595744680771e+00, 3.875680585274343670e+00
4.845797102046066340e-02, 2.531126212765956729e-01, -1.108072168949188196e-02, 1.021276595744680771e+00, 3.951584046726686061e+00
5.065926671191945535e-02, 2.531126212765956729e-01, -1.203842018066089530e-02, 1.021276595744680771e+00, 4.000000000000000000e+00
5.068596424729892441e-02, 2.668810425531917274e-01, -1.192551764620351611e-02, 1.042553191489361764e+00, 0.000000000000000000e+00
4.833949403960661334e-02, 2.668810425531917274e-01, -1.171390786070556841e-02, 1.042553191489361764e+00, 4.841595327331393861e-02
4.437873240039078016e-02, 2.668810425531917274e-01, -1.115685420044710413e-02, 1.042553191489361764e+00, 1.243194147256564686e-01
3.790919418488895160e-02, 2.668810425531917274e-01, -1.020662374672407294e-02, 1.042553191489361764e+00, 2.483789085618058612e-01
2.807835659524040781e-02, 2.668810425531917274e-01, -8.671617488229687101e-03, 1.042553191489361764e+00, 4.370901933198670375e-01
1.466813591383149019e-02, 2.668810425531916719e-01, -6.405609251537738164e-03, 1.042553191489361764e+00, 6.949315309392636308e-01
-1.154220081638008275e-03, 2.668810425531917274e-01, -3.436518277247411612e-03, 1.042553191489361764e+00, 1.000000000000000000e+00
-1.689009745263131065e-02, 2.668810425531917274e-01, -1.042596499850403721e-05, 1.042553191489361764e+00, 1.305068469060736591e+00
-3.004431875191439921e-02, 2.668810425531917829e-01, 3.477246801814795792e-03, 1.042553191489361764e+00, 1.562909806680132796e+00
